battery,status
80.0,Charging
81.0,Charging
81.0,Charging
82.0,Charging
82.0,Charging
82.0,Charging
83.0,Charging
83.0,Charging
83.0,Charging
84.0,Charging
84.0,Charging
85.0,Charging
85.0,Charging
85.0,Charging
86.0,Charging
86.0,Charging
86.0,Charging
87.0,Charging
87.0,Charging
87.0,Charging
88.0,Charging
88.0,Charging
88.0,Charging
89.0,Charging
89.0,Charging
89.0,Charging
89.0,Charging
90.0,Charging
90.0,Charging
90.0,Charging
91.0,Charging
91.0,Charging
91.0,Charging
91.0,Charging
92.0,Charging
92.0,Charging
92.0,Charging
93.0,Charging
93.0,Charging
93.0,Charging
93.0,Charging
94.0,Charging
94.0,Charging
94.0,Charging
94.0,Charging
94.0,Charging
95.0,Charging
95.0,Charging
95.0,Charging
95.0,Charging
96.0,Charging
96.0,Charging
96.0,Charging
96.0,Charging
96.0,Charging
97.0,Charging
97.0,Charging
97.0,Charging
97.0,Charging
97.0,Charging
97.0,Charging
98.0,Charging
98.0,Charging
98.0,Charging
98.0,Charging
98.0,Charging
98.0,Charging
98.0,Charging
98.0,Charging
98.0,Charging
98.0,Charging
98.0,Charging
98.0,Charging
98.0,Charging
98.0,Charging
98.0,Charging
98.0,Charging
98.0,Charging
98.0,Charging
98.0,Charging
98.0,Charging
98.0,Charging
98.0,Charging
98.0,Charging
98.0,Charging
98.0,Charging
98.0,Charging
98.0,Discharging
97.0,Discharging
96.0,Discharging
96.0,Discharging
95.0,Discharging
95.0,Discharging
94.0,Discharging
93.0,Discharging
92.0,Discharging
91.0,Discharging
91.0,Discharging
90.0,Discharging
89.0,Discharging
88.0,Discharging
88.0,Discharging
87.0,Discharging
87.0,Discharging
86.0,Discharging
86.0,Discharging
85.0,Discharging
84.0,Discharging
83.0,Discharging
83.0,Discharging
81.0,Discharging
80.0,Discharging
79.0,Discharging
79.0,Discharging
78.0,Discharging
78.0,Discharging
77.0,Discharging
76.0,Discharging
75.0,Discharging
74.0,Discharging
73.0,Discharging
73.0,Discharging
71.0,Discharging
70.0,Discharging
69.0,Discharging
68.0,Discharging
67.0,Discharging
66.0,Discharging
65.0,Discharging
65.0,Discharging
64.0,Discharging
63.0,Discharging
62.0,Discharging
61.0,Discharging
60.0,Discharging
59.0,Discharging
59.0,Discharging
58.0,Discharging
57.0,Discharging
56.0,Discharging
55.0,Discharging
55.0,Discharging
54.0,Discharging
53.0,Discharging
52.0,Discharging
52.0,Discharging
51.0,Discharging
50.0,Discharging
50.0,Discharging
49.0,Discharging
48.0,Discharging
48.0,Discharging
47.0,Discharging
46.0,Discharging
45.0,Discharging
44.0,Discharging
43.0,Discharging
42.0,Discharging
42.0,Discharging
40.0,Discharging
39.0,Discharging
39.0,Discharging
38.0,Discharging
37.0,Discharging
36.0,Discharging
35.0,Discharging
34.0,Discharging
33.0,Discharging
32.0,Discharging
32.0,Discharging
31.0,Discharging
30.0,Discharging
30.0,Discharging
29.0,Discharging
28.0,Discharging
27.0,Discharging
26.0,Discharging
25.0,Charging
26.0,Charging
27.0,Charging
28.0,Charging
29.0,Charging
30.0,Charging
31.0,Charging
32.0,Charging
33.0,Charging
34.0,Charging
35.0,Charging
36.0,Charging
37.0,Charging
38.0,Charging
38.0,Charging
39.0,Charging
40.0,Charging
41.0,Charging
41.0,Charging
42.0,Charging
43.0,Charging
42.0,Discharging
41.0,Discharging
41.0,Discharging
40.0,Discharging
40.0,Discharging
39.0,Discharging
38.0,Discharging
37.0,Discharging
37.0,Discharging
36.0,Discharging
36.0,Discharging
35.0,Discharging
34.0,Discharging
33.0,Discharging
32.0,Discharging
32.0,Discharging
31.0,Discharging
